Time, McKenzie-Discharge (m3/s), Middle Fork Willamette-Discharge (m3/s), Upper Yamhill-Discharge (m3/s), Pudding-Discharge (m3/s), Clackamas-Discharge (m3/s), Long Tom-Discharge (m3/s), Marys-Discharge (m3/s), North Santiam-Discharge (m3/s), South Santiam-Discharge (m3/s), Tualatin-Discharge (m3/s), Coast Fork Willamette-Discharge (m3/s), WRB-Discharge (m3/s)
0, 71.2867, 0.956108, 2.26498e-005, 6.42909e-005, 6.37866e-005, 12.3805, 0.000103768, 16.007, 16.1465, 9.13514e-005, 2.84669, 91.7653
1, 46.3783, 112.159, 0.000127533, 0.0394476, 0.00514459, 7.43726, 0.000249699, 132.014, 10.8546, 0.270836, 1.73452, 197.02
2, 36.0135, 121.343, 0.0252557, 0.0786139, 0.00336791, 3.70978, 0.0332634, 72.3249, 6.09252, 0.50449, 1.41912, 228.649
3, 29.9327, 74.504, 0.215188, 0.180966, 0.0714018, 1.85372, 0.120917, 34.3786, 3.30295, 0.915924, 1.39451, 193.506
4, 26.1414, 40.3904, 0.886788, 0.425718, 0.220925, 1.46099, 0.448393, 17.6771, 1.95331, 1.5999, 3.82107, 146.505
5, 23.9648, 21.7244, 2.79439, 0.81049, 0.471426, 1.56157, 1.43656, 10.1924, 1.49673, 2.84376, 3.4224, 112.587
6, 29.9387, 11.9635, 5.47842, 1.33342, 0.87106, 1.80072, 3.02217, 6.72814, 1.47786, 4.6198, 2.22229, 96.9436
7, 29.5118, 6.90283, 11.0592, 2.42866, 2.15412, 2.15132, 5.20225, 5.71698, 1.99401, 7.69382, 1.4297, 101.11
8, 27.8832, 4.38878, 26.6289, 5.4809, 5.80234, 2.98941, 9.98785, 7.85809, 4.02713, 14.5533, 1.29159, 142.266
9, 35.1976, 3.42628, 44.7179, 10.7527, 11.6672, 4.47571, 17.7597, 13.457, 7.86528, 24.4131, 1.90648, 222.197
10, 37.6246, 3.47368, 61.8841, 16.9531, 18.5392, 6.26987, 27.7926, 20.999, 12.5176, 35.9396, 3.12423, 320.348
11, 36.2022, 3.73305, 62.1211, 18.3442, 19.2347, 7.06708, 30.468, 24.0194, 14.1828, 40.1411, 3.86378, 359.409
12, 40.7877, 3.55382, 54.3277, 16.9045, 16.945, 7.26869, 26.6879, 23.1033, 13.5337, 37.9306, 4.07171, 347.141
13, 40.3638, 4.31192, 51.6995, 16.4826, 15.5676, 14.4518, 25.5372, 22.1662, 13.0985, 36.7641, 5.4691, 340.19
14, 37.006, 4.34925, 43.5515, 15.2398, 13.7358, 15.1718, 22.2519, 31.2361, 24.2487, 31.8172, 5.05965, 319.666
15, 39.8973, 3.86833, 32.8716, 12.7563, 11.5571, 14.6104, 16.75, 48.871, 19.687, 24.7894, 7.33639, 290.131
16, 36.8895, 3.30123, 23.6711, 10.3676, 9.88128, 13.257, 11.9585, 40.4913, 13.399, 18.4647, 5.63304, 246.528
17, 38.338, 2.88832, 16.9554, 8.57923, 8.76195, 10.6404, 8.53163, 37.0162, 19.6246, 13.7015, 3.67758, 205.794
18, 35.7016, 2.73328, 13.3497, 7.81166, 8.60498, 8.0256, 7.10616, 27.8399, 15.7881, 10.7953, 3.45708, 173.96
19, 32.1917, 2.6333, 13.1809, 7.43934, 8.41389, 6.01611, 6.03713, 20.0573, 11.276, 9.74125, 2.69, 152.005
20, 36.3637, 2.56439, 13.8233, 7.17674, 8.18857, 4.83048, 5.27006, 15.0703, 8.35396, 9.70277, 1.9864, 139.829
21, 34.8538, 2.5243, 13.7264, 7.53514, 8.41455, 3.95125, 4.61728, 22.6169, 18.1741, 10.7042, 1.54471, 139.034
22, 31.7621, 2.50404, 12.4576, 7.59291, 8.28059, 3.35299, 3.8345, 20.5877, 15.5291, 11.2378, 4.33787, 134.89
23, 36.1315, 2.46711, 11.2272, 7.19937, 7.84823, 2.92163, 3.18066, 15.7908, 10.9156, 10.7369, 8.75871, 128.118
24, 34.9176, 2.49683, 11.3819, 7.01158, 7.65855, 2.6073, 3.03036, 12.5763, 8.03, 10.2655, 6.77708, 123.484
25, 32.4369, 2.60986, 12.3416, 7.60741, 8.29875, 2.4476, 3.04846, 33.5615, 6.68324, 11.0851, 4.61648, 134.999
26, 36.9329, 2.61054, 11.4879, 7.60962, 8.37023, 2.33679, 2.7385, 52.6477, 29.0217, 11.074, 3.02306, 149.916
