Time, McKenzie-Discharge (m3/s), Middle Fork Willamette-Discharge (m3/s), Upper Yamhill-Discharge (m3/s), Pudding-Discharge (m3/s), Clackamas-Discharge (m3/s), Long Tom-Discharge (m3/s), Marys-Discharge (m3/s), North Santiam-Discharge (m3/s), South Santiam-Discharge (m3/s), Tualatin-Discharge (m3/s), Coast Fork Willamette-Discharge (m3/s), WRB-Discharge (m3/s)
0, 71.2867, 0.956108, 2.26498e-005, 6.42909e-005, 6.37866e-005, 12.3805, 0.000103768, 16.007, 16.1465, 9.13514e-005, 2.84669, 91.7653
1, 46.3783, 112.159, 0.000127533, 0.0394476, 0.00514459, 7.43726, 0.000249699, 132.014, 10.8546, 0.270836, 1.73452, 197.02
2, 36.0135, 121.343, 0.0252557, 0.0786139, 0.00336791, 3.70978, 0.0332634, 72.3249, 6.09252, 0.50449, 1.41912, 228.649
3, 29.924, 74.5033, 0.0473041, 0.128766, 0.00982172, 1.84871, 0.0624097, 34.3068, 3.26486, 0.765887, 1.39357, 192.7
4, 26.3322, 40.454, 1.05966, 0.448334, 0.185433, 1.55073, 1.44445, 17.7244, 2.02462, 1.26011, 3.9425, 146.98
5, 32.0161, 23.663, 9.15148, 3.52431, 2.88129, 4.46213, 13.6276, 15.2323, 5.17338, 3.52915, 7.75293, 152.267
6, 38.2423, 15.0408, 11.2102, 4.35637, 3.44144, 4.49994, 13.6884, 12.289, 5.1423, 4.68182, 6.17305, 155.934
7, 35.6902, 9.80912, 9.94649, 3.949, 3.23862, 3.75647, 10.5517, 8.96524, 3.98047, 4.89221, 4.17506, 142.407
8, 43.5238, 7.8532, 19.7016, 7.87289, 7.37942, 6.84813, 17.9447, 12.7139, 7.39601, 8.539, 6.19679, 176.001
9, 41.181, 6.9281, 20.0303, 8.49237, 8.13886, 8.96973, 16.4141, 12.8628, 7.40847, 9.90129, 5.83888, 190.509
10, 42.7092, 6.06033, 17.686, 7.75275, 7.65311, 11.3859, 12.7105, 11.274, 6.46432, 9.8729, 7.27097, 184.408
11, 39.3948, 5.16158, 16.9632, 7.79104, 8.3185, 10.8647, 10.8855, 10.1752, 5.8152, 10.2205, 5.6363, 175.559
12, 34.8229, 4.42237, 14.7794, 6.99876, 7.75872, 8.63951, 8.58282, 19.8674, 17.3368, 9.77873, 4.37499, 163.612
13, 38.0501, 3.86479, 11.4715, 5.81723, 6.61864, 6.78686, 6.32258, 17.5748, 14.1417, 8.38861, 3.01535, 144.973
14, 39.4782, 3.47297, 8.41893, 4.79355, 5.62096, 5.24464, 4.56597, 12.4809, 9.17193, 6.7706, 4.49821, 124.979
15, 35.6428, 3.21182, 6.09021, 4.04106, 4.93259, 3.99276, 3.31332, 31.2926, 5.92798, 5.38044, 3.49944, 117.974
16, 31.7222, 3.05732, 4.42921, 3.51538, 4.47241, 3.05022, 2.44269, 27.8155, 4.07612, 4.3284, 3.14366, 108.702
17, 35.7542, 2.96252, 3.26726, 3.15041, 4.15003, 2.37506, 1.84071, 29.3746, 14.8636, 3.5861, 2.26747, 101.323
18, 34.0981, 2.89924, 2.45746, 2.89464, 3.91275, 1.9199, 1.42354, 22.0271, 12.3128, 3.06836, 1.49649, 92.019
19, 36.8443, 2.92007, 2.09983, 2.74673, 3.7814, 1.98024, 1.49882, 14.4857, 7.9452, 2.75479, 1.27994, 83.1371
20, 34.4573, 2.97206, 2.23045, 2.67054, 3.89238, 1.96344, 1.68859, 9.58154, 5.08281, 2.6469, 1.02731, 76.4886
21, 32.1957, 3.23847, 3.37369, 3.01778, 4.21239, 2.47941, 2.86885, 7.46125, 3.98508, 3.32136, 4.5826, 77.0018
22, 37.0496, 3.45521, 5.03315, 3.41288, 4.90304, 2.81041, 3.72387, 6.67279, 3.58592, 4.27866, 10.3491, 85.4479
23, 35.3537, 3.46393, 5.16559, 3.44078, 4.97912, 3.23263, 3.40303, 5.87693, 3.06447, 4.61109, 7.74598, 90.1506
24, 40.6003, 3.94068, 13.0376, 6.55205, 7.59413, 5.28975, 9.29052, 8.79867, 5.18549, 8.50516, 5.93284, 124.946
25, 40.2872, 4.5269, 17.3476, 8.50818, 9.28802, 5.89271, 11.5747, 22.585, 19.3066, 11.0748, 4.85174, 161.933
