Time, McKenzie-Discharge (m3/s), Middle Fork Willamette-Discharge (m3/s), Upper Yamhill-Discharge (m3/s), Pudding-Discharge (m3/s), Clackamas-Discharge (m3/s), Long Tom-Discharge (m3/s), Marys-Discharge (m3/s), North Santiam-Discharge (m3/s), South Santiam-Discharge (m3/s), Tualatin-Discharge (m3/s), Coast Fork Willamette-Discharge (m3/s), WRB-Discharge (m3/s)
0, 71.2867, 0.956108, 2.26498e-005, 6.42909e-005, 6.37866e-005, 12.3805, 0.000103768, 16.007, 16.1465, 9.13514e-005, 2.84669, 91.7653
1, 46.3783, 112.159, 0.000127533, 0.0394476, 0.00514459, 7.43726, 0.000249699, 132.014, 10.8546, 0.270836, 1.73452, 197.02
2, 36.0135, 121.343, 0.0252557, 0.0786139, 0.00336791, 3.70978, 0.0332634, 72.3249, 6.09252, 0.50449, 1.41912, 228.649
3, 29.9234, 74.5031, 0.0473869, 0.128356, 0.00933427, 1.84792, 0.0617201, 34.3055, 3.26411, 0.764638, 1.39326, 192.692
4, 26.0622, 40.38, 0.0658436, 0.174302, 0.0068554, 1.40793, 0.0842754, 17.2911, 1.72866, 0.979983, 3.80665, 142.739
5, 23.7358, 21.6932, 0.0809466, 0.211385, 0.0115699, 1.37964, 0.10099, 9.23069, 0.907887, 1.13901, 3.3649, 102.036
6, 29.5168, 11.9077, 0.0982126, 0.240652, 0.0125487, 1.41732, 0.118659, 5.10086, 0.470286, 1.25569, 2.10528, 75.939
7, 28.7458, 6.79821, 0.241535, 0.300442, 0.0418748, 1.46675, 0.25086, 2.93559, 0.265701, 1.40561, 1.19567, 60.6297
8, 26.0158, 4.13154, 0.571865, 0.389931, 0.0519587, 1.54105, 0.579877, 1.84629, 0.226742, 1.60035, 0.703619, 51.5065
9, 30.3263, 2.7093, 0.798343, 0.425337, 0.0475071, 1.56297, 0.694784, 1.21808, 0.187771, 1.72712, 0.415298, 46.887
10, 29.0063, 1.94326, 0.8181, 0.429313, 0.0457576, 1.55957, 0.639396, 0.842862, 0.160288, 1.77639, 0.247203, 44.2813
11, 25.9673, 1.11965, 0.717418, 0.406938, 0.0312018, 1.55141, 0.534344, 0.600699, 0.1189, 1.76956, 0.150134, 41.4141
12, 30.2767, 0.615429, 0.587984, 0.386965, 0.0366326, 1.54496, 0.432501, 0.460182, 0.104613, 1.74024, 0.106229, 39.6653
13, 28.9333, 0.342399, 0.475482, 0.371922, 0.0240814, 1.547, 0.373616, 0.378286, 0.0869686, 1.70263, 0.0798125, 38.6938
14, 26.0869, 0.219888, 0.549438, 0.448972, 0.0787547, 1.6016, 0.664809, 0.492961, 0.218787, 1.74677, 0.100756, 38.1539
15, 24.6262, 0.284293, 1.05402, 0.725265, 0.200005, 1.88612, 1.76754, 1.07168, 0.720412, 2.00482, 0.344532, 40.1098
16, 32.389, 0.743203, 2.18113, 1.12205, 0.243763, 2.77496, 4.2254, 2.22914, 1.67886, 2.2157, 1.45993, 49.3863
17, 31.6983, 0.838043, 2.75165, 1.32719, 0.268936, 2.79696, 4.45197, 2.59785, 1.84489, 2.3251, 1.51248, 58.4969
18, 28.1922, 0.762111, 2.55068, 1.2462, 0.189313, 2.50149, 3.56679, 2.27271, 1.51179, 2.27405, 1.18881, 59.9884
19, 32.6429, 0.78552, 2.15448, 1.08543, 0.181964, 2.54981, 3.36569, 2.00558, 1.33608, 2.18434, 1.18243, 58.9395
20, 32.353, 1.00659, 3.31658, 1.56864, 0.536954, 2.89298, 5.11312, 2.71619, 1.93883, 3.15178, 1.62461, 65.1155
21, 29.2128, 1.92737, 4.6705, 2.01734, 0.625088, 2.73675, 5.30162, 3.02867, 2.06428, 4.62887, 1.43115, 71.6457
22, 33.1814, 1.64589, 4.63247, 1.96556, 0.571186, 2.43178, 4.31737, 2.80669, 1.82112, 5.26879, 7.16925, 74.4371
23, 31.4552, 1.33841, 3.81967, 1.70511, 0.450461, 2.17436, 3.23301, 2.40639, 1.49624, 5.08439, 5.64254, 72.3951
24, 28.2472, 1.85822, 2.92856, 1.44242, 0.372886, 1.9902, 2.3825, 2.02615, 1.21085, 4.51163, 3.39242, 66.3129
25, 32.5741, 1.51489, 2.20531, 1.23873, 0.37532, 1.86385, 1.77335, 1.73082, 0.995291, 3.87673, 1.96166, 60.4732
