DATE,TMAX Marion Forks,TMIN Marion Forks
19480702,222,22
19480703,256,67
19480704,267,67
19480705,239,100
19480706,144,83
19480707,161,83
19480708,167,44
19480709,217,72
19480710,211,94
19480711,228,106
19480712,183,33
19480713,250,61
19480714,278,61
19480715,311,89
19480716,306,78
19480717,322,89
19480718,294,150
19480719,217,156
19480720,178,133
19480721,278,72
19480722,317,106
19480723,272,89
19480724,161,44
19480725,244,56
19480726,261,72
19480727,267,89
19480728,117,83
19480729,144,83
19480730,278,94
19480731,306,117
19480801,283,94
19480802,283,117
19480803,311,144
19480804,239,122
19480805,178,33
19480806,239,61
19480807,228,56
19480808,256,94
19480809,228,133
19480810,228,139
19480811,233,94
19480812,233,67
19480813,233,89
19480814,189,67
19480815,228,94
19480816,167,39
19480817,211,111
19480818,311,117
19480819,156,94
19480820,144,56
19480821,211,0
19480822,211,117
19480823,217,100
19480824,122,44
19480825,150,100
19480826,211,78
19480827,222,61
19480828,272,72
19480829,239,111
19480830,267,94
19480831,172,33
19480901,239,61
19480902,272,83
19480903,244,100
19480904,256,17
19480905,233,22
19480906,233,39
19480907,261,50
19480908,267,44
19480909,278,67
19480910,289,72
19480911,317,78
19480912,306,44
19480913,300,56
19480914,283,94
19480915,144,72
19480916,128,61
19480917,150,67
19480918,150,61
19480919,161,33
19480920,228,44
19480921,200,33
19480922,183,61
19480923,100,17
19480924,61,22
19480925,44,22
19480926,72,0
19480927,72,17
19480928,156,72
19480929,144,33
19480930,139,0
19481001,183,28
19481002,167,44
19481003,167,78
19481004,128,33
19481005,117,61
19481006,72,50
19481007,100,67
19481008,122,78
19481009,167,17
19481010,144,22
19481011,139,67
19481012,128,39
19481013,144,56
19481014,139,-9999
19481015,128,17
19481016,122,-6
19481017,133,0
19481018,133,-11
19481019,111,6
19481020,111,0
19481021,100,22
19481022,122,22
19481023,111,33
19481024,128,33
19481025,89,-6
19481026,83,11
19481027,78,-33
19481028,111,-33
19481029,22,0
19481030,44,17
19481031,72,22
19481101,56,11
19481102,67,22
19481103,61,6
19481104,33,6
19481105,33,0
19481106,50,11
19481107,50,-11
19481108,39,-44
19481109,17,-33
19481110,17,-28
19481111,22,-33
19481112,28,-22
19481113,72,-11
19481114,56,22
19481115,44,0
19481116,33,11
19481117,33,0
19481118,11,-33
19481119,11,-17
19481120,17,0
19481121,39,-6
19481122,17,6
19481123,39,0
19481124,56,11
19481125,33,6
19481126,22,-17
19481127,0,-11
19481128,0,-6
19481129,6,-6
19481130,11,0
19481201,11,0
19481202,11,0
19481203,11,0
19481204,11,-33
19481205,11,0
19481206,11,0
19481207,22,0
19481208,17,0
19481209,17,0
19481210,17,0
19481211,33,0
19481212,6,0
19481213,11,0
19481214,11,-11
19481215,0,-28
19481216,0,-78
19481217,-6,-100
19481218,-33,-117
19481219,-6,-106
19481220,0,-11
19481221,6,-28
19481222,0,-100
19481223,-44,-156
19481224,-50,-150
19481225,-28,-122
19481226,-6,-72
19481227,-22,-78
19481228,-17,-56
19481229,0,-22
19481230,6,-50
19481231,6,-17
19490101,0,-44
19490102,-17,-72
19490103,-28,-144
19490104,-61,-144
19490105,-67,-122
19490106,-22,-72
19490107,0,-56
19490108,6,-61
19490109,-44,-183
19490110,-78,-194
19490111,-72,-189
19490112,-89,-161
19490113,-61,-139
19490114,-50,-100
19490115,0,-50
19490116,0,-111
19490117,-6,-78
19490118,6,-89
19490119,-33,-111
19490120,-28,-167
19490121,-50,-128
19490122,-28,-89
19490123,-33,-167
19490124,-56,-211
19490125,-56,-178
19490126,-67,-133
19490127,-33,-78
19490128,6,-89
19490129,28,-78
19490130,33,-72
19490131,6,-72
19490201,6,-67
19490202,56,-50
19490203,11,-28
19490204,17,-28
19490205,0,-56
19490206,-11,-39
19490207,-6,-44
19490208,-6,-33
19490209,0,-11
19490210,11,-6
19490211,11,-78
19490212,-17,-67
19490213,-28,-133
19490214,-11,-133
19490215,6,-17
19490216,6,0
19490217,22,0
19490218,11,0
19490219,6,0
19490220,28,-28
19490221,11,-17
19490222,11,0
19490223,22,-6
19490224,33,-6
19490225,33,-22
19490226,50,-22
19490227,67,-39
