Date,tmin (deg C),tmax (deg C),tavg (tmin + tmax)/2
1895-01,-1.5,6.33,2.415
1895-02,-0.25,8.5,4.125
1895-03,-0.79,10.26,4.735
1895-04,1.88,13.87,7.875
1895-05,4.71,15.6,10.155
1895-06,6.41,21.55,13.98
1895-07,8.38,24.23,16.305
1895-08,7.58,25.56,16.57
1895-09,6.02,17.39,11.705
1895-10,3.34,17.32,10.33
1895-11,-0.91,7.93,3.51
1895-12,-0.38,5.82,2.72
1896-01,0.26,6.34,3.3
1896-02,0.89,9.02,4.955
1896-03,-0.03,9.83,4.9
1896-04,1.47,9.56,5.515
1896-05,3.95,13.2,8.575
1896-06,6.28,20.79,13.535
1896-07,9.87,27.86,18.865
1896-08,10.52,23.84,17.18
1896-09,6.22,21.18,13.7
1896-10,3.47,17.04,10.255
1896-11,-1.78,4.44,1.33
1896-12,1.66,7.76,4.71
1897-01,-0.22,5.74,2.76
1897-02,0.36,6.84,3.6
1897-03,-0.42,5.84,2.71
1897-04,3.38,15.56,9.47
1897-05,6.8,20.45,13.625
1897-06,7.88,19.67,13.775
1897-07,8.69,22.91,15.8
1897-08,10.5,27.62,19.06
1897-09,7.27,19.49,13.38
1897-10,4.41,16.19,10.3
1897-11,1.36,10.12,5.74
1897-12,0.98,8.69,4.835
1898-01,-1.12,6.01,2.445
1898-02,1.81,8.96,5.385
1898-03,-0.59,9.48,4.445
1898-04,2.56,14.55,8.555
1898-05,4.19,17.49,10.84
1898-06,7.27,21.18,14.225
1898-07,8.34,25.06,16.7
1898-08,10.48,25.6,18.04
1898-09,8.3,21.75,15.025
1898-10,4.09,14.76,9.425
1898-11,0.55,9.77,5.16
1898-12,-1.95,4.99,1.52
1899-01,0.78,6.16,3.47
1899-02,-1.77,5.02,1.625
1899-03,-0.15,8.64,4.245
1899-04,1.81,11.38,6.595
1899-05,4.04,12.9,8.47
1899-06,5.55,20.12,12.835
1899-07,8.34,25.21,16.775
1899-08,8.41,20.75,14.58
1899-09,7.95,23.39,15.67
1899-10,3.71,14.76,9.235
1899-11,4.4,11.9,8.15
1899-12,0.23,7.35,3.79
1900-01,0.67,8.23,4.45
1900-02,-0.3,7.4,3.55
1900-03,3.12,13.51,8.315
1900-04,2.45,14.34,8.395
1900-05,5.38,17.18,11.28
1900-06,7.82,22.15,14.985
1900-07,8.55,25.08,16.815
1900-08,7.68,22.29,14.985
1900-09,7.09,19.97,13.53
1900-10,4.21,15.51,9.86
1900-11,2.13,10.86,6.495
1900-12,1.99,9.16,5.575
1901-01,-1.32,5.59,2.135
1901-02,-0.62,6.52,2.95
1901-03,0.78,10.11,5.445
1901-04,1.26,12.35,6.805
1901-05,5.27,16.66,10.965
1901-06,5.57,18.12,11.845
1901-07,7.15,23.02,15.085
1901-08,8.9,27.7,18.3
1901-09,5.75,18.35,12.05
1901-10,6.16,18.64,12.4
1901-11,2.54,11.69,7.115
1901-12,-0.38,6.89,3.255
1902-01,-1.95,5.37,1.71
1902-02,1.75,8.4,5.075
1902-03,0.68,8.66,4.67
1902-04,1.9,11.68,6.79
1902-05,5.69,15.54,10.615
1902-06,5.78,20.95,13.365
1902-07,8,22.94,15.47
1902-08,8.05,25.87,16.96
1902-09,5.88,22.35,14.115
1902-10,4.01,17.19,10.6
1902-11,1.2,8.27,4.735
1902-12,-0.56,5.47,2.455
1903-01,0.38,6.36,3.37
1903-02,-3.41,6.62,1.605
1903-03,-0.52,9.68,4.58
1903-04,0.93,11.5,6.215
1903-05,4.28,16.46,10.37
1903-06,8.05,21.41,14.73
1903-07,7.96,22.99,15.475
1903-08,8.72,24.43,16.575
1903-09,6.44,21,13.72
1903-10,4.26,16.77,10.515
1903-11,1.62,8.47,5.045
1903-12,-0.52,6.88,3.18
1904-01,-0.04,6.19,3.075
1904-02,-0.72,5.31,2.295
1904-03,0.55,7.13,3.84
1904-04,3.29,15.07,9.18
1904-05,3.81,18.09,10.95
1904-06,5.78,22.72,14.25
1904-07,9.51,25.08,17.295
1904-08,8.15,27.5,17.825
1904-09,6.39,23.44,14.915
1904-10,4.79,17.61,11.2
1904-11,3.35,11.59,7.47
1904-12,0.32,6.81,3.565
1905-01,-0.53,5.8,2.635
1905-02,-1.43,8.62,3.595
1905-03,2.71,12.5,7.605
1905-04,2.25,15.67,8.96
1905-05,4.65,15.54,10.095
1905-06,7.29,20.49,13.89
1905-07,9.09,27.76,18.425
1905-08,8.2,26.16,17.18
1905-09,7.72,21.99,14.855
1905-10,2.77,14.33,8.55
1905-11,-1.33,9.71,4.19
1905-12,-0.96,5.92,2.48
1906-01,0.23,6.67,3.45
1906-02,0.38,8.96,4.67
1906-03,-0.69,10.16,4.735
1906-04,2.17,16.99,9.58
1906-05,4.59,16.42,10.505
1906-06,6.11,19.67,12.89
1906-07,10.41,29.89,20.15
1906-08,8.14,28.42,18.28
1906-09,7.58,22.24,14.91
1906-10,4.73,17.29,11.01
1906-11,1.41,9.44,5.425
1906-12,0.75,7.46,4.105
1907-01,-3.74,3.51,-0.115
1907-02,1.27,10.52,5.895
1907-03,0.04,9.34,4.69
1907-04,1.64,14.59,8.115
1907-05,4.44,18.84,11.64
1907-06,6.78,21.15,13.965
1907-07,8.79,26.43,17.61
1907-08,8.11,23.95,16.03
1907-09,6.9,22.26,14.58
1907-10,5.6,19.12,12.36
1907-11,0.76,11.66,6.21
1907-12,0.7,7.08,3.89
1908-01,0.11,6.8,3.455
1908-02,-1.01,7.79,3.39
1908-03,0.22,10.49,5.355
1908-04,1.45,15.37,8.41
1908-05,2.97,14.07,8.52
1908-06,5.86,20.64,13.25
1908-07,9.96,28.36,19.16
1908-08,8.2,25.98,17.09
1908-09,5.43,22.66,14.045
1908-10,3.36,15.64,9.5
1908-11,1.67,11.6,6.635
1908-12,-1.59,5.28,1.845
1909-01,-3.87,3.99,0.06
1909-02,0.77,6.88,3.825
1909-03,-0.06,11.04,5.49
1909-04,0.77,13.73,7.25
1909-05,2.83,15.55,9.19
1909-06,6.36,22.05,14.205
1909-07,8.23,22.33,15.28
1909-08,6.98,25.45,16.215
1909-09,7.05,22.61,14.83
1909-10,4.42,15.81,10.115
1909-11,1.19,8.97,5.08
1909-12,-3.67,4.05,0.19
